00122	FM TX AGC Adjust Setting vs Frequency	fm_agc_set_vs_freq	RF DFM
00123	FM TX AGC Adjust Setting vs Temperature	fm_agc_set_vs_temp	RF DFM
00124	FM Expected HDET Reading vs Power	fm_exp_hdet_vs_pwr	RF DFM
00125	FM HDET Error Slope vs Power	fm_err_slp_vs_pwr	RF DFM
00126	FM Frequency Gain	fm_freq_sense_gain	RF DFM
00127	CDMA Rx Linearizer Offset	cdma_rx_lin_off_0	RF CDMA
00128	CDMA Rx Linearizer Slope	cdma_rx_lin_slp	RF CDMA
00129	CDMA Rx Gain Compensation vs Frequency	cdma_rx_comp_vs_freq	RF CDMA
00130	CDMA Tx Gain Compensation vs Frequency	cdma_tx_comp_vs_freq	RF CDMA
00131	CDMA Tx Gain Compensation vs Voltage	cdma_tx_comp_vs_volt	Obsolete
00132	CDMA Tx Linearizer Master Offset	cdma_tx_lin_master_off_0	RF CDMA
00133	CDMA Tx Linearizer Master Slope	cdma_tx_lin_master_slp	RF CDMA
00134	CDMA Tx Linearizer Trim vs Temperature	cdma_tx_lin_vs_temp	RF CDMA
00135	CDMA Tx Linearizer Trim vs Voltage	cdma_tx_lin_vs_volt	RF CDMA
00136	CDMA Tx Power Limit vs Temperature	cdma_tx_lim_vs_temp	RF CDMA
00137	CDMA Tx Power Limit vs Voltage	cdma_tx_lim_vs_volt	RF CDMA
00138	CDMA Tx Power Limit vs Frequency	cdma_tx_lim_vs_freq	RF CDMA
00139	CDMA Expected HDET Reading vs AGC PDM	cdma_exp_hdet_vs_agc	RF CDMA
00140	CDMA HDET Error Slope vs HDET Reading	cdma_err_slp_vs_hdet	RF CDMA
00141	RF LCD Temperature Compensation	therm	Factory
00142	RF Compensation Voltage	vbatt_pa	Factory
00143	ADC HDET Reading Offset	hdet_off	RF CDMA
00144	ADC HDET Reading Span	hdet_spn	RF CDMA
00145	UI One Touch Dial	onetouch_dial	Display
00146	FM AGC Adjust vs Frequency	fm_agc_adj_vs_freq	RF DFM
00147	FM AGC Adjust vs Temperature	fm_agc_adj_vs_temp	Obsolete
00148	RF Configuration	rf_config	Factory
00149	R1 Rise	r1_rise	RF CDMA
00150	R1 Fall	r1_fall	RF CDMA
00151	R2 Rise	r2_rise	RF CDMA
00152	R2 Fall	r2_fall	RF CDMA
00153	R3 Rise	r3_rise	RF CDMA
00154	R3 Fall	r3_fall	RF CDMA
00155	PA Range Step Calibration	pa_range_step_cal	RF CDMA
00156	LNA Range Polarity	lna_range_pol	RF CDMA
00157	LNA Range Rise	lna_range_rise	RF CDMA
00158	LNA Range Fall	lna_range_fall	RF CDMA
00159	LNA Range Offset	lna_range_offset	RF CDMA
00161	Alerts Level	alerts_lvl	Display
00162	Alerts Level Shadow	alerts_lvl_shadow	Display
00163	Ringer Level Shadow	ringer_lvl_shadow	Display
00164	Beep Level Shadow	beep_lvl_shadow	Display
00165	Ear Level Shadow	ear_lvl_shadow	Display
00166	Time Show	time_show	Display
00167	Message Alert	message_alert	Obsolete
00168	Air Counter	air_cnt	Display
00169	Roam Counter	roam_cnt	Display
00170	Life Counter	life_cnt	Display
00171	Send Pin	send_pin	Security
00172	Auto Answer Shadow	auto_answer_shadow	Display
00173	Auto Redial Shadow	auto_redial_shadow	Obsolete
00174	SMS	sms	Display
00176	IMSI MCC	imsi_mcc	CDMA
00177	IMSI 11 12	imsi_11_12	CDMA
00178	Directory Number	dir_number	CDMA
00179	Voice Privacy	voice_priv	Display
00180	Spare B1	spare_b1	Debug
00181	Spare B2	spare_b2	Debug
00182	Spare W1	spare_w1	Debug
00183	Spare W2	spare_w2	Debug
00184	FSC	fsc	Security
00185	Alarms	alarms	Display
00186	Standing Alarm	standing_alarm	Display
00187	ISD STD Password	isd_std_passwd	Security
00188	ISD STD Restrict	isd_std_restrict	Security
00189	Dialing Plan	dialing_plan	Display
00190	FM Mode LNA_Control	fm_lna_ctl	Factory
00191	Life Timer G	life_timer_g	Display
00192	Call Timer G	call_timer_g	Display
00194	FM AGC	fm_agc	RF DFM
00195	FSC2	fsc2	Security
00196	FSC2 Checksum	fsc2_chksum	Security
00197	Warranty Date Code	wdc	Security
00198	Hardware Configuration	hw_config	Factory
00199	CDMA RX Linearizer vs Temperature	cdma_rx_lin_vs_temp	RF CDMA
00200	CDMA Adjustment Factor	cdma_adj_factor	RF CDMA
00201	CDMA TX LIM Booster Offset	cdma_tx_lim_booster_off	Obsolete
00202	CDMA RX SLP vs Temperature	cdma_rx_slp_vs_temp	RF CDMA
00203	CDMA TX SLP vs Temperature	cdma_tx_slp_vs_temp	RF CDMA
00204	PA Range vs Temperature	pa_range_vs_temp	RF CDMA
00205	LNA Switch vs Temperature	lna_switch_vs_temp	Obsolete
00206	FM Expected HDET vs Temperature	fm_exp_hdet_vs_temp	RF DFM
00207	N1 M	n1m	Debug
